region,year,gini,atk5,atk1,d9010,d9050,d8020,poorAll4,poorAll5,poorAll6,poorK4,poorK5,poorK6,poorE4,poorE5,poorE6,d5075,d75150,d150,poortp,poorsm,pkidsm,eymed,average
Austria,2012,0.277,0.066,0.136,3.458,1.767,2.214,5.373,9.613,15.11,6.269,10.5,18.009,5.52,11.472,19.05,25.218,54.218,10.064,8.006,24.995,13.763,24892.658,27430.405
Austria,2011,0.282,0.069,0.139,3.489,1.82,2.219,5.023,8.935,15.35,5.206,9.108,17.469,4.543,10.504,18.12,24.289,55.181,11.422,6.819,22.198,12.23,24526.976,27540.357
Austria,2010,0.28,0.066,0.133,3.475,1.803,2.232,4.446,9.026,15.234,4.075,10.243,18.414,5.424,11.254,19.369,22.668,55.004,12.084,7.741,26.617,13.01,24034.175,27005.057
Austria,2009,0.289,0.073,0.146,3.672,1.847,2.22,5.682,9.793,15.727,6.9,11.193,19.071,5.836,12.1,20.108,22.948,53.652,12.206,8.811,26.881,11.974,23765.854,26690.025
Austria,2008,0.28,0.068,0.136,3.439,1.774,2.195,4.542,9.088,15.423,4.555,9.578,17.323,5.47,12.606,21.544,24.187,55.256,10.978,7.578,23.03,12.055,23110.905,25699.882
Austria,2007,0.284,0.068,0.137,3.616,1.829,2.265,4.733,9.732,15.905,4.642,10.121,17.675,6.145,13.962,23.03,23.843,55.107,10.929,7.485,25.765,12.104,21915.053,24572.942
Austria,2006,0.268,0.061,0.119,3.254,1.766,2.125,3.461,7.943,13.462,4.273,9.375,15.994,2.083,9.561,17.869,23.184,55.877,11.564,6.047,28.94,13.868,20455.378,22879.84
Austria,2005,0.26,0.057,0.113,3.185,1.737,2.118,3.349,7.621,13.918,3.85,8.326,15.765,2.729,11.139,20.236,22.927,58.676,10.071,6.244,22.627,12.238,20050.518,22135.124
Austria,2004,0.268,0.061,0.118,3.224,1.779,2.109,3.406,7.247,13.337,3.549,6.981,15.108,1.979,9.996,18.295,25.082,58.311,9.626,5.26,18.409,10.96,20251.559,22645.362
Austria,2003,0.265,0.06,0.12,3.216,1.739,2.128,4.351,8.146,13.996,3.933,8.375,15.48,6.814,12.191,21.049,24.026,57.51,10.089,6.683,20.179,12.775,19245.689,21152.053
Austria,2000,0.254,0.054,0.109,3.146,1.723,2.072,3.536,7.42,13.72,3.403,7.569,15.136,6.321,14.541,24.82,23.561,60.895,7.975,6.239,18.091,11.662,17125.25,18649.409
Austria,1999,0.262,0.058,0.114,3.169,1.758,2.11,3.317,7.021,13.128,2.497,5.357,13.469,6.567,14.436,24.464,26.368,58.852,9.423,3.903,17.124,11.246,16951.78,18857.205
Austria,1998,0.275,0.066,0.13,3.316,1.773,2.114,4.715,7.953,13.922,5.113,7.248,15.11,6.839,15.198,25.366,26.557,57.298,8.898,6.046,16.015,10.957,16308.503,18150.341
Austria,1997,0.255,0.055,0.111,3.296,1.712,2.139,4.467,8.688,14.79,6.077,10.73,16.899,4.187,12.203,24.004,23.123,56.204,9.943,8.409,28.458,12.017,16073.957,17361.097
Austria,1996,0.258,0.055,0.111,3.236,1.688,2.152,4.298,9.01,14.739,3.992,9.605,16.613,6.601,14.94,25.041,24.675,55.593,10.127,7.567,25.032,12.264,15950.621,17223.424
Austria,1995,0.266,0.061,0.121,3.317,1.745,2.183,4.393,8.686,14.802,4.768,9.465,17.865,5.141,13.927,23.245,22.143,57.12,11.272,7.425,26.8,10.779,15966.635,17661.444
Austria,1994,0.278,0.065,0.131,3.511,1.802,2.208,4.984,9.388,14.996,5.13,10.376,16.75,7.127,14.931,24.147,20.553,55.757,13.314,7.979,32.879,9.606,15854.905,17767.523
Austria,1987,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2017,0.26,0.057,0.115,3.35,1.664,2.274,4.415,10.367,18.385,5.448,13.17,19.998,2.929,8.69,26.235,17.145,57.628,12.056,8.878,37.254,14.334,26472.078,28153.367
Belgium,2016,0.265,0.059,0.118,3.324,1.672,2.273,3.815,9.711,17.799,5.013,12.262,19.004,2.417,8.082,23.275,18.119,55.529,14.09,7.187,36.521,15.734,25449.431,27303.666
Belgium,2015,0.266,0.059,0.118,3.371,1.695,2.296,3.926,9.906,17.928,3.985,11.214,19.154,3.259,9.738,23.725,18.948,55.011,14.827,6.478,38.041,14.057,25170.43,27105.916
Belgium,2014,0.262,0.057,0.114,3.333,1.719,2.271,3.527,9.182,16.948,3.371,10.92,18.518,2.685,8.234,22.726,19.784,55.09,14.205,7.408,31.62,14.587,24335.694,26310.539
Belgium,2013,0.264,0.058,0.116,3.384,1.714,2.316,4.144,9.676,17.58,4.581,12.386,19.745,2.372,8.155,22.058,19.128,55.493,12.992,8.748,31.063,15.274,24302.998,26227.672
Belgium,2012,0.266,0.06,0.119,3.361,1.68,2.271,4.337,10.067,17.974,4.549,11.883,18.874,2.706,9.837,28.369,19.292,56.366,12.459,7.655,33.08,14.927,24383.907,26234.524
Belgium,2011,0.268,0.062,0.126,3.343,1.689,2.288,4.29,9.663,17.85,4.468,11.056,18.769,4.747,11.095,27.783,19.116,56.278,13.55,8.058,28.82,14.537,22796.47,24536.712
Belgium,2010,0.263,0.059,0.118,3.387,1.69,2.249,4.195,10.111,17.72,5.572,13.588,20.054,3.338,11.224,27.969,16.271,57.443,12.698,8.781,37.899,15.534,22582.037,24179.326
Belgium,2009,0.267,0.06,0.119,3.404,1.71,2.283,4.215,9.875,17.626,5.846,13.004,19.641,3.745,12.246,29.472,17.953,55.28,13.763,8.565,35.595,15.52,22072.528,23813.222
Belgium,2008,0.262,0.058,0.117,3.338,1.701,2.244,3.71,9.47,17.107,4.395,11.59,18.088,3.529,12.64,29.497,18.239,58.272,11.899,7.635,34.813,14.062,21854.346,23594.205
Belgium,2007,0.275,0.067,0.128,3.309,1.692,2.233,4.028,9.338,16.736,4.304,10.272,16.778,3.761,14.039,29.593,19.046,57.274,13.408,5.231,38.431,13.829,20508.326,22500.679
Belgium,2006,0.272,0.064,0.125,3.418,1.702,2.219,4.067,10.133,17.074,3.942,10.956,17.477,4.908,16.892,29.997,19.379,56.642,13.023,6.921,33.535,14.132,19945.72,21660.614
Belgium,2005,0.27,0.063,0.123,3.371,1.732,2.194,3.445,9.212,15.836,3.439,9.321,15.011,3.956,15.75,28.873,17.599,58.862,14.218,6.216,27.016,14.093,19014.473,20857.133
Belgium,2004,0.271,0.063,0.119,3.277,1.731,2.195,2.587,8.388,15.975,2.791,9.423,17.796,3.213,13.057,26.059,20.148,56.474,13.955,6.672,26.863,13.741,18168.008,20091.552
Belgium,2003,0.261,0.058,0.119,3.352,1.705,2.181,4.401,9.494,15.895,4.591,10.756,16.804,5.149,13.342,24.552,18.091,58.964,12.19,7.62,29.495,14.473,17288.974,18608.249
Belgium,2000,0.289,0.077,0.144,3.316,1.741,2.214,3.915,8.111,16.165,3.78,7.326,12.538,5.916,14.831,35.825,16.455,61.002,15.217,5.175,26.55,10.307,16641.038,18712.084
Belgium,1997,0.251,0.053,0.11,3.201,1.705,2.136,3.433,8.126,14.553,3.196,7.681,13.717,3.762,11.853,22.799,17.219,62.284,12.816,7.205,10.094,8.874,14803.609,15987.784
Belgium,1995,0.268,0.063,0.127,3.262,1.676,2.159,3.304,8.963,16.1,2.439,8.074,14.738,6.674,17.472,31.05,19.32,60.356,12.25,7.033,18.549,9.397,14573.103,15800.93
Belgium,1992,0.228,0.045,0.094,2.788,1.626,1.97,2.54,5.357,10.557,1.94,4.236,9.433,5.46,11.884,23.811,21.37,64.097,10.297,3.383,13.792,8.532,11898.889,12687.999
Belgium,1988,0.235,0.047,0.095,2.782,1.632,1.99,2.271,4.925,11.656,1.365,3.596,10.479,5.379,10.774,25.363,21.593,63.391,11.421,3.198,8.939,4.907,9935.133,10679.132
Belgium,1985,0.228,0.043,0.087,2.74,1.623,1.964,2.194,4.601,10.495,1.479,3.506,9.802,4.272,10.78,21.063,22.943,62.104,11.448,2.483,18.062,5.414,9156.359,9784.898
Brazil,2016,0.482,0.199,0.382,9.672,2.911,4.03,15.202,21.511,27.414,24.961,34.081,41.488,2.772,5.201,9.535,17.737,29.762,18.42,31.05,45.008,20.889,15611.551,22602.425
Brazil,2013,0.46,0.176,0.315,7.923,2.829,3.683,12.4,19.038,24.884,20.249,29.67,37.733,2.161,5.972,8.386,19.437,32.559,18.334,26.954,40.624,19.908,13443.837,19502.094
Brazil,2011,0.469,0.183,0.33,8.385,2.948,3.863,13.19,19.751,25.415,21.049,30.316,38.168,2.418,6.081,8.579,19.179,31.384,19.12,27.862,40.387,18.779,10740.0,15861.459
Brazil,2009,0.477,0.188,0.336,8.476,3.091,4.053,12.54,20.194,26.067,19.85,30.657,38.898,1.984,6.099,8.411,19.299,30.655,19.389,28.245,40.573,19.602,8835.0,13438.99
Brazil,2006,0.505,0.211,0.375,10.052,3.323,4.295,14.024,20.775,26.75,21.821,30.913,38.912,1.818,6.076,8.526,18.878,29.592,20.617,29.676,36.332,18.466,6559.729,10535.517
Canada,2018,0.306,0.079,0.16,4.075,1.914,2.483,6.502,11.997,18.772,6.465,12.23,20.538,2.216,12.212,22.952,22.694,50.113,14.963,8.958,36.764,10.889,46150.101,52377.472
Canada,2017,0.313,0.083,0.165,4.167,1.93,2.556,6.742,12.231,19.462,6.326,11.885,20.712,2.335,12.575,23.792,24.168,47.828,16.118,9.153,33.286,10.741,44641.292,50946.185
Canada,2016,0.308,0.08,0.162,4.111,1.918,2.517,6.78,12.184,19.478,6.975,13.706,22.13,2.382,10.923,22.186,22.364,48.384,15.547,9.621,42.577,12.1,42796.916,48495.82
Canada,2015,0.32,0.086,0.173,4.413,1.946,2.634,7.753,14.136,20.909,7.748,15.294,23.309,2.526,11.946,23.406,20.687,47.784,16.236,12.166,38.569,10.67,42505.449,48258.832
Canada,2014,0.312,0.083,0.164,4.217,1.934,2.557,7.321,12.664,19.416,7.715,14.641,22.597,2.325,9.735,20.731,19.594,48.673,17.091,10.605,43.078,11.589,41274.282,47312.589
Canada,2013,0.321,0.086,0.174,4.544,1.992,2.713,8.082,13.688,20.974,10.113,17.841,26.615,1.647,8.984,21.615,21.575,44.272,16.313,13.66,43.991,12.399,40253.293,46131.656
Canada,2012,0.317,0.085,0.169,4.388,1.939,2.611,7.685,13.361,20.517,9.094,16.181,25.326,1.899,9.345,20.561,21.234,46.53,16.055,12.785,42.238,11.41,39445.965,44805.683
Canada,2011,0.313,0.082,0.163,4.184,1.928,2.546,6.897,12.204,19.441,8.03,14.459,23.19,1.928,9.581,22.338,21.495,48.018,16.028,10.222,38.887,13.343,38266.968,43705.515
Canada,2010,0.318,0.086,0.167,4.189,1.916,2.6,7.025,12.548,20.19,7.507,14.367,23.585,2.326,9.789,22.352,22.692,47.692,15.249,10.563,37.432,13.416,36712.222,42047.777
Canada,2009,0.321,0.087,0.171,4.283,1.957,2.604,7.158,12.795,20.024,8.037,14.991,23.889,1.759,9.015,20.904,21.928,47.057,16.024,11.194,35.248,14.584,35560.411,41081.949
Canada,2008,0.322,0.089,0.172,4.259,1.942,2.597,7.29,12.689,20.005,8.703,15.532,24.097,2.18,9.616,22.198,21.452,47.865,15.151,11.025,39.241,14.719,35399.192,40902.499
Canada,2007,0.316,0.085,0.165,4.165,1.94,2.535,6.62,12.148,18.982,7.502,15.361,23.151,1.298,8.119,20.103,21.116,47.941,15.583,10.278,43.043,14.631,34002.579,39235.726
Canada,2006,0.318,0.086,0.167,4.252,1.949,2.569,7.195,12.168,19.443,8.268,15.151,24.287,1.471,6.863,17.896,22.614,47.301,14.934,10.357,41.48,14.627,32007.291,36949.162
Canada,2005,0.318,0.086,0.17,4.274,1.932,2.573,7.599,12.868,20.067,9.52,16.227,25.047,1.386,7.909,19.968,21.757,46.891,15.125,10.743,45.444,14.801,31055.293,35470.316
Canada,2004,0.32,0.087,0.171,4.368,1.956,2.595,7.729,13.004,19.93,9.787,16.972,25.467,1.387,6.225,17.655,20.616,47.006,15.405,11.312,48.476,14.273,29430.052,33927.792
Canada,2003,0.318,0.086,0.169,4.254,1.922,2.6,7.636,12.882,20.287,9.192,16.397,25.712,1.801,6.541,18.175,22.036,46.542,15.025,10.536,47.888,14.28,28524.269,32567.776
Canada,2002,0.317,0.085,0.167,4.278,1.924,2.555,7.637,12.714,19.623,9.288,15.974,24.352,1.797,7.006,18.929,21.68,47.662,14.683,10.139,48.58,14.286,27765.0,31797.761
Canada,2001,0.318,0.087,0.169,4.192,1.925,2.537,7.202,12.266,18.994,8.679,15.728,23.805,1.815,5.91,17.611,21.919,47.603,14.75,11.212,41.771,13.983,26867.8,30959.95
Canada,2000,0.318,0.087,0.17,4.163,1.933,2.527,7.167,12.26,18.729,8.195,15.661,23.783,1.248,5.114,15.908,21.378,47.643,15.318,11.254,42.63,13.578,25222.499,29156.534
Canada,1999,0.31,0.083,0.164,4.102,1.904,2.509,7.096,11.981,18.87,8.159,15.045,23.546,1.087,4.498,15.501,21.967,49.298,13.69,9.997,43.025,14.163,24147.675,27534.827
Canada,1998,0.312,0.084,0.166,4.128,1.894,2.488,7.275,12.351,18.971,8.497,15.916,23.707,1.43,4.565,15.377,21.141,48.82,14.123,9.969,48.545,14.558,23234.571,26400.718
Canada,1997,0.308,0.081,0.16,4.182,1.899,2.503,7.143,12.161,18.868,8.704,16.074,23.813,1.321,3.719,13.494,20.664,49.293,13.97,9.871,51.734,13.968,22251.643,25210.644
Canada,1996,0.303,0.078,0.155,4.123,1.867,2.489,7.119,12.279,19.089,8.805,16.561,24.488,1.125,3.024,13.0,21.195,48.863,13.382,10.564,50.924,13.93,21730.351,24419.755
Canada,1994,0.285,0.068,0.137,3.9,1.848,2.394,6.596,11.352,17.642,8.852,15.574,22.393,1.217,4.919,17.321,19.592,53.297,11.537,10.053,46.77,14.097,22352.312,24737.231
Canada,1991,0.282,0.067,0.135,3.79,1.822,2.328,6.388,11.019,16.695,8.011,13.946,19.434,1.308,5.777,19.307,19.441,54.469,12.144,8.544,47.719,12.87,21569.981,23870.642
Canada,1987,0.283,0.067,0.136,3.897,1.838,2.356,6.911,11.41,17.52,8.835,13.969,20.17,3.499,10.778,24.723,18.764,55.774,11.493,9.781,51.278,9.547,17975.0,19752.174
Canada,1981,0.286,0.069,0.146,4.073,1.827,2.432,7.697,12.629,19.108,,,,6.729,22.036,39.12,,,,,,,12658.373,13797.47
Canada,1975,0.293,0.075,0.162,4.357,1.796,2.459,9.292,14.309,19.956,9.177,14.437,20.488,20.748,34.762,48.316,18.335,54.67,12.558,10.441,56.01,8.471,6831.764,7382.241
Canada,1971,0.323,0.094,0.209,5.005,1.901,2.756,11.073,16.793,22.72,,,,16.872,36.643,51.559,,,,,,,3910.0,4280.985
Chile,2017,0.459,0.176,0.309,6.966,2.867,3.406,9.201,16.006,23.332,11.535,20.142,28.478,10.45,19.299,29.201,20.648,36.33,22.88,15.221,32.585,28.119,4451130.16,6637897.829
Chile,2015,0.453,0.171,0.302,6.767,2.812,3.395,9.067,15.826,22.919,11.424,20.077,28.493,10.492,18.581,27.885,20.62,36.53,22.773,15.453,32.492,27.073,3989039.866,5899278.407
Chile,2013,0.46,0.177,0.312,7.092,2.889,3.383,9.504,15.97,22.963,12.409,20.546,29.139,9.759,17.697,25.798,20.896,36.115,22.443,16.208,32.608,27.021,3401680.257,5087673.828
Chile,2011,0.467,0.182,0.323,7.311,2.942,3.522,9.841,16.994,23.991,13.382,22.914,31.545,9.431,15.923,23.235,20.658,34.169,22.259,18.582,35.464,26.148,2747798.825,4140913.61
Chile,2009,0.478,0.192,0.342,7.549,2.977,3.602,10.276,16.825,24.055,13.042,21.365,29.675,9.548,15.474,24.976,20.464,34.956,23.215,17.9,33.572,22.012,2446977.533,3772904.838
Chile,2006,0.476,0.189,0.337,8.137,3.02,3.788,11.676,18.491,25.477,14.98,23.264,31.506,12.809,21.933,30.649,19.307,33.732,23.697,20.777,34.82,18.057,2064756.0,3125469.936
Chile,2003,0.503,0.212,0.374,8.99,3.23,4.04,12.791,19.351,26.315,16.67,24.789,32.931,11.166,17.989,26.647,19.127,31.797,24.288,22.881,34.367,15.908,1653239.233,2647248.203
Chile,2000,0.526,0.233,0.403,9.556,3.293,4.096,13.239,19.829,26.561,17.181,25.202,32.933,8.687,14.346,22.05,18.256,30.898,25.645,23.748,34.203,14.792,1479720.0,2484708.298
Chile,1998,0.51,0.217,0.38,9.579,3.334,4.246,13.796,20.702,27.11,17.826,25.962,33.321,11.996,20.856,28.48,17.652,31.472,24.914,24.814,33.199,15.25,1351568.753,2192213.274
Chile,1996,0.504,0.211,0.371,9.29,3.279,4.232,13.265,20.258,26.701,17.052,25.573,33.076,12.599,20.049,27.038,17.29,32.29,24.847,24.205,34.64,12.561,1145571.109,1853012.692
Chile,1994,0.506,0.214,0.384,10.057,3.312,4.35,14.046,20.974,27.399,18.16,26.402,33.733,14.403,23.228,29.689,17.544,30.525,25.528,25.203,34.487,14.161,887629.732,1419896.765
Chile,1992,0.508,0.218,0.373,8.35,3.14,3.954,11.603,18.694,25.618,14.982,23.893,31.836,11.53,17.942,26.626,19.2,31.775,25.132,22.793,31.529,14.054,618251.737,1016060.207
Chile,1990,0.507,0.217,0.382,8.944,3.215,4.052,12.094,19.545,26.563,15.951,25.41,33.867,8.862,15.205,20.888,18.99,31.501,24.099,24.239,33.502,13.806,373200.0,603714.348
China,2018,0.413,0.143,0.28,7.84,2.474,3.79,14.752,20.999,27.204,15.206,22.025,28.555,20.598,28.118,34.489,16.309,35.47,26.196,21.508,24.724,3.678,39994.279,50972.843
China,2013,0.399,0.132,0.257,7.039,2.42,3.629,13.767,19.998,26.94,14.168,20.935,29.016,21.19,28.213,35.583,18.018,36.693,24.355,20.226,27.376,2.913,26080.073,32812.787
China,2002,0.415,0.139,0.258,6.985,2.713,3.798,10.83,17.919,25.407,12.973,21.696,30.55,12.541,19.749,26.561,20.514,33.216,24.574,21.535,17.373,1.499,6752.009,9209.469
Colombia,2020,0.503,0.217,0.408,12.042,3.087,4.678,17.573,22.586,28.301,22.178,28.358,35.54,19.101,24.317,28.799,17.561,31.787,22.294,24.776,38.017,26.294,8106757.039,12400000.0
Colombia,2019,0.48,0.195,0.362,10.276,2.899,4.229,16.297,21.557,27.404,21.249,28.209,35.884,19.336,24.117,28.581,19.098,31.658,21.036,25.349,36.042,26.431,9085495.681,13300000.0
Colombia,2018,0.465,0.183,0.34,9.14,2.805,4.004,15.08,20.697,27.088,19.708,27.259,35.577,18.599,23.53,28.163,19.915,32.196,20.63,24.827,34.174,25.937,9030692.543,12900000.0
Colombia,2017,0.461,0.179,0.333,8.94,2.77,3.929,14.668,20.457,26.892,19.357,26.887,35.226,18.22,23.344,28.699,20.067,33.087,19.959,24.336,34.118,25.863,8721593.902,12300000.0
Colombia,2016,0.47,0.187,0.346,9.397,2.805,3.996,15.24,21.032,27.605,20.191,27.67,36.157,19.462,24.76,29.596,19.807,31.963,20.56,25.25,34.443,26.024,8355941.54,12000000.0
Colombia,2015,0.473,0.188,0.35,9.666,2.892,4.169,15.438,21.37,27.516,20.299,28.19,36.11,19.231,24.386,29.213,19.488,31.012,21.31,25.757,34.89,25.904,7803946.78,11300000.0
Colombia,2014,0.489,0.201,0.37,10.555,3.009,4.388,16.158,22.244,28.332,21.373,29.25,37.07,20.223,25.513,30.364,18.909,30.205,21.636,26.536,36.596,25.704,7303680.0,10900000.0
Colombia,2013,0.491,0.203,0.376,10.874,3.049,4.407,16.408,22.098,28.164,21.413,28.764,36.472,20.482,25.423,30.056,18.641,30.44,22.155,26.008,36.683,25.335,6808063.401,10200000.0
Colombia,2012,0.491,0.202,0.373,10.84,3.059,4.45,16.469,22.2,28.512,21.297,28.731,36.638,21.389,25.905,31.212,18.624,30.323,22.322,26.191,36.11,25.084,6383765.139,9599314.143
Colombia,2011,0.5,0.21,0.381,10.719,3.172,4.46,15.414,21.614,28.089,20.062,28.021,36.161,19.61,25.433,30.4,19.3,30.009,22.671,25.603,35.211,24.382,5947746.952,9254781.884
Colombia,2010,0.511,0.219,0.397,11.45,3.287,4.632,16.226,21.577,27.88,20.747,27.651,35.559,21.422,26.565,31.238,18.519,30.175,23.655,25.3,34.788,24.276,5319565.294,8545710.931
Colombia,2009,0.51,0.22,0.404,11.513,3.25,4.643,16.426,22.458,28.029,21.048,28.746,35.771,21.46,26.558,30.906,18.135,29.38,23.739,26.437,35.879,23.315,4902590.595,7798170.516
Colombia,2008,0.526,0.235,0.432,13.218,3.396,4.993,18.213,23.273,29.145,23.372,29.822,37.082,23.309,27.63,32.158,17.714,28.518,23.946,27.554,36.999,23.103,4594987.089,7475497.265
Colombia,2007,0.54,0.25,0.459,14.697,3.493,5.31,18.565,23.731,29.749,23.256,29.745,37.138,24.163,28.87,33.083,17.079,28.377,24.799,27.664,36.945,22.565,4122746.816,6917016.012
Colombia,2006,0.502,0.211,0.384,10.559,3.21,4.362,15.252,21.512,27.787,19.516,27.694,35.605,18.75,24.446,29.287,19.326,30.401,22.579,26.436,32.623,21.085,3706797.966,5801915.727
Colombia,2005,0.513,0.221,0.396,11.095,3.232,4.38,15.886,21.264,27.168,20.034,26.889,34.187,19.607,24.32,29.083,18.924,30.999,23.189,25.881,31.133,20.156,3495120.0,5616844.612
Colombia,2004,0.513,0.222,0.402,11.901,3.272,4.571,16.724,21.86,27.412,20.807,27.065,33.975,21.142,26.158,30.457,17.682,31.285,23.968,25.603,32.946,19.555,3086357.076,4943905.748
Colombia,2003,0.504,0.215,0.397,11.799,3.217,4.513,16.438,21.857,27.391,20.116,26.787,33.755,20.991,26.282,30.539,18.598,31.238,23.377,25.257,32.867,19.218,2952877.918,4592524.553
Colombia,2002,0.526,0.235,0.431,13.763,3.416,4.799,17.198,22.286,27.875,20.648,26.94,33.861,21.464,26.267,30.849,18.178,29.668,25.215,26.347,30.648,18.519,2632717.228,4314105.334
Colombia,2001,0.509,0.22,0.409,12.348,3.23,4.48,16.062,21.487,27.278,19.202,25.792,33.104,19.923,24.857,29.263,18.584,31.589,24.035,25.194,28.791,18.171,2568480.0,4024634.819
Cote D Ivoire,2015,0.579,0.295,0.552,19.109,3.605,5.646,19.676,25.329,31.209,21.067,27.277,34.018,23.355,28.326,35.249,15.28,28.096,29.347,23.815,39.482,19.097,506246.947,906861.651
Cote D Ivoire,2008,0.538,0.253,0.44,11.675,3.194,4.75,16.82,22.711,28.477,18.233,24.656,30.873,18.542,27.389,32.625,15.344,30.265,29.734,23.797,29.027,13.206,453868.237,762236.169
Cote D Ivoire,2002,0.566,0.279,0.509,15.759,3.568,5.306,18.45,24.413,30.312,19.22,25.473,31.798,19.284,26.36,32.088,14.441,28.832,31.254,23.904,35.348,13.608,354057.941,623884.945
Czech Rebuplic,2016,0.254,0.054,0.104,3.015,1.743,2.007,2.547,5.802,11.215,4.897,9.295,14.177,0.739,4.518,16.089,16.724,59.727,14.253,6.384,30.095,11.583,260361.199,290011.514
Czech Rebuplic,2013,0.259,0.057,0.107,3.041,1.759,2.003,2.776,5.972,11.348,5.21,10.592,16.757,0.723,2.984,12.722,18.376,57.072,13.96,7.389,32.176,12.213,228171.9,257817.841
Czech Rebuplic,2010,0.256,0.055,0.106,3.051,1.753,2.007,2.87,6.33,11.349,4.808,10.585,16.845,0.474,3.315,12.146,18.921,58.32,12.175,7.557,33.912,11.281,219942.718,245766.431
Czech Rebuplic,2007,0.252,0.054,0.103,2.972,1.75,2.004,2.474,5.396,10.834,4.556,8.73,14.325,0.53,3.976,15.848,18.37,61.702,11.198,4.921,34.745,12.13,195382.456,218021.011
Czech Rebuplic,2004,0.267,0.06,0.113,3.204,1.849,2.08,3.009,5.831,11.515,5.117,10.21,17.881,0.392,2.173,10.487,20.407,57.276,12.106,6.815,34.256,12.584,151462.03,174320.62
